_id,id,username,followers,text,hashtags,language,created
ObjectId(5e5cf4d408013f04e616f436),1.23E+18,Arsenaltime1,1458,"RT @afcstuff: Happy Birthday to Arsenal youngster Harry Clarke, who turns 19 today! #afc https://t.co/4nz8YRMyt4","[{""text"":""afc"",""indices"":[84,88]}]",en,2020-03-02T11:58:07.000Z
ObjectId(5e5cf4d508013f04e616f437),1.23E+18,Asia_Hazxlou,75,"RT @larryingnormani: louis minding               harry staring 
his own business            at him",[],en,2020-03-02T11:58:08.000Z
ObjectId(5e5cf4d508013f04e616f438),1.23E+18,Tonirene03,51,RT @carlyincontro: the bachelorette but it’s just me and 20 men who look like harry styles,[],en,2020-03-02T11:58:08.000Z
ObjectId(5e5cf4d608013f04e616f439),1.23E+18,horanlisa8,51,"RT @signoftheharry: 🚨 BREAKING NEWS 🚨

Harry Styles, 26, singer, is NOT a virgin  https://t.co/TqUA2ZnD8p",[],en,2020-03-02T11:58:09.000Z
ObjectId(5e5cf4d608013f04e616f43a),1.23E+18,Panjiazhr,52,RT @amandrug: when someone says they're a harry potter fan vs after they said their house is gryffindor,[],en,2020-03-02T11:58:09.000Z
ObjectId(5e5cf4d608013f04e616f43b),1.23E+18,dogsforever55,411,"RT @SiggyStardust80: Oh dear, oh dear, oh dear.  😂 Thank God DIsney bosses have come to their sense.  This should be a warning to other fil…",[],en,2020-03-02T11:58:09.000Z
ObjectId(5e5cf4d708013f04e616f43c),1.23E+18,finiscetutto,5945,"RT @1DAFSanta: Louis will be 29 this December
Zayn turned 27 this year
Liam will be 27 this year 
Niall will be 27 this year
Harry turned 2…",[],en,2020-03-02T11:58:10.000Z
ObjectId(5e5cf4d708013f04e616f43d),1.23E+18,_TrillLyricist_,2065,"RT @Shadyinfo: List of artists/groups Eminem outstreamed on Spotify in 2020

Selena Gomez
Justin Beiber 
Halsey
Mac Miller
BTS
Lil Wayne
Lo…",[],en,2020-03-02T11:58:10.000Z
ObjectId(5e5cf4d808013f04e616f43e),1.23E+18,harrehflower,301,RT @7Osharry: Harry saying “having sex &amp; feeling sad” on loop to bless yalls timeline. https://t.co/8R1x3naaZj,[],en,2020-03-02T11:58:11.000Z
ObjectId(5e5cf4d808013f04e616f43f),1.23E+18,Ohhuneyx,89,"1. Blueberries
2. Amy Adams
3. Festivals
4. Harry Potter anything
5. Plain Avocado
6. Acoustic guitar artists
7. An… https://t.co/hSBjXseLjG",[],en,2020-03-02T11:58:11.000Z
ObjectId(5e5cf4da08013f04e616f440),1.23E+18,burszka,300,RT @Iondunn: omg Harry is that drunk girl in a bathroom I love it,[],en,2020-03-02T11:58:13.000Z
ObjectId(5e5cf4db08013f04e616f441),1.23E+18,hossieho,493,@kelly__priest It wasn’t just that Harry didn’t give him the advantage but also that Lee and Sharm voted him out ov… https://t.co/QxGEYjUvPr,[],en,2020-03-02T11:58:14.000Z
ObjectId(5e5cf4db08013f04e616f442),1.23E+18,fluttersalt,212,RT @shesvinyl: so you’re saying harry styles isn’t a virgin?!?!?? this is the worst day of my life 😭😭😭🙁🙁😫😫😫😤😤😤😤😤😡😡🤬🤬🤬😫😫😫😫😫😫😫🤪🤪😤😤😤😤😤😤😤😳😳😳😳ht…,[],en,2020-03-02T11:58:14.000Z
ObjectId(5e5cf4db08013f04e616f443),1.23E+18,HPinkiebooboo,44,"RT @hsdaily: “Falling is about getting right before a place that you recognize is like a low for you, you know you kinda feel yourself fall…",[],en,2020-03-02T11:58:15.000Z
ObjectId(5e5cf4dc08013f04e616f444),1.23E+18,bearhd57,17367,"RT @WayneDupreeShow: Harry and the Royals are just ""unpaid extras"" who appear in the new Meghan Markle show. 

These poor people have been…",[],en,2020-03-02T11:58:15.000Z
ObjectId(5e5cf4dc08013f04e616f445),1.23E+18,xmtickets_intl,37229,"Harry Styles Tickets available for below mentioned cities ; 

Birmingham
Sheffield
Dublin
London 
Manchester
And Al… https://t.co/rV8x2LS5ZG",[],en,2020-03-02T11:58:15.000Z
ObjectId(5e5cf4dc08013f04e616f446),1.23E+18,giada7x7,114,RT @superscuba83: All the Meghan &amp; Haz fans screaming Coronavirus as a reason Meghan won’t bring Archie with her R delusional! They fly pri…,[],en,2020-03-02T11:58:16.000Z
ObjectId(5e5cf4dd08013f04e616f447),1.23E+18,jeongyunhao,177,"@choeishan Do you want to join me to be a part of the promotion team? We'd make a great team. In fact, we spent so… https://t.co/wqpnmp1bop",[],en,2020-03-02T11:58:16.000Z
ObjectId(5e5cf4de08013f04e616f448),1.23E+18,1HOESMAD1,393,Harry is really gonna pull up at Halloween and be like why are there a bunch of me in the audience,[],en,2020-03-02T11:58:17.000Z
ObjectId(5e5cf4df08013f04e616f449),1.23E+18,MariaGa91000049,2166,RT @desertflower_ps: Big thank you! To you!,[],en,2020-03-02T11:58:18.000Z
ObjectId(5e5cf4e008013f04e616f44a),1.23E+18,BABYMlCK,998,RT @carlyincontro: the bachelorette but it’s just me and 20 men who look like harry styles,[],en,2020-03-02T11:58:19.000Z
ObjectId(5e5cf4e008013f04e616f44b),1.23E+18,iamshoncurtis,997,RT @JohnKani2: Happy Birthday my dear older brother Harry Belafonte. You have been an inspiration to all of us in Africa and the Diaspora h…,[],en,2020-03-02T11:58:19.000Z
ObjectId(5e5cf4e008013f04e616f44c),1.23E+18,arltouis,1731,RT @thomasfalcone: harry styles @ Bowery Ballroom// NYC. ty for having me out @iHeartRadio 😍 https://t.co/4ism4utwWu,[],en,2020-03-02T11:58:20.000Z
ObjectId(5e5cf4e108013f04e616f44d),1.23E+18,CanyonMoonfall,382,"RT @BritishGQ: Harry Styles shows it's time to invest in a vest for SS20🔥

📸@LANVINofficial https://t.co/lc1JJUc1JH",[],en,2020-03-02T11:58:20.000Z
ObjectId(5e5cf4e108013f04e616f44e),1.23E+18,HazzaxxLoueh,1876,"RT @chartharrys: Best selling male albums of 2020 in the US (pure):

#1. BTS — MAP OF THE SOUL: 7
#2. Eminem — Music to Be Murdered By
#3.…",[],en,2020-03-02T11:58:20.000Z
ObjectId(5e5cf4e108013f04e616f44f),1.23E+18,voiqed,5,ABSOLUTELY DISGUSTING I CANT BELIEVE IT,[],en,2020-03-02T11:58:20.000Z
ObjectId(5e5cf4e108013f04e616f450),1.23E+18,Cleonarda68,1026,"RT @OxfordDiplomat: One extremely important point made by @johnmcdonnellMP on Julian Assange case:

Why should the UK extradite Assange to…",[],en,2020-03-02T11:58:20.000Z
ObjectId(5e5cf4e208013f04e616f451),1.23E+18,GrmDu76,1210,RT @UtdDistrict: Ole Gunnar Solskjær ranks Kalidou Koulibaly as one of the three best centre-backs in the world. The Napoli defender was hi…,[],en,2020-03-02T11:58:21.000Z
ObjectId(5e5cf4e208013f04e616f452),1.23E+18,Shady_Tinawy,306,"RT @FootballFactly: You’d have been called mad if someone said to you at the time, that Harry Maguire would go on to become the most expens…",[],en,2020-03-02T11:58:21.000Z
ObjectId(5e5cf4e308013f04e616f453),1.23E+18,YUGYElOM,253,"harry potter
kingsman 
maze of runner
godzilla
crawl
the expendables //",[],en,2020-03-02T11:58:22.000Z
ObjectId(5e5cf4e308013f04e616f454),1.23E+18,aulevedelalune,187,"RT @icarusdior: Sending users to Harry:
🍓-must be following me
🍉-rt &amp; comment you’re fav song of fine line
🥝-picking 15 people
🍒-TPWK https…",[],en,2020-03-02T11:58:22.000Z
ObjectId(5e5cf4e308013f04e616f455),1.23E+18,DaniellaDeahl,493,RT @Iondunn: omg Harry is that drunk girl in a bathroom I love it,[],en,2020-03-02T11:58:22.000Z
ObjectId(5e5cf4e408013f04e616f456),1.23E+18,BartEnergyLS,354,RT @visitFineLine: What do you mean Harry is not a virgin https://t.co/vkttsOXcHZ,[],en,2020-03-02T11:58:23.000Z
ObjectId(5e5cf4e408013f04e616f457),1.23E+18,JesseDrucker,11515,RT @CharlesMBlow: #HarryBelafonte turns 93 today. Reposting my column on him and #SidneyPoitier. https://t.co/1QlX9BnLTt,"[{""text"":""HarryBelafonte"",""indices"":[18,33]},{""text"":""SidneyPoitier"",""indices"":[81,95]}]",en,2020-03-02T11:58:23.000Z
ObjectId(5e5cf4e408013f04e616f458),1.23E+18,miIfalert,55,facts facts,[],en,2020-03-02T11:58:24.000Z
ObjectId(5e5cf4e508013f04e616f459),1.23E+18,manuel82933494,4,"RT @wonderofscience: Metamorphosis of a tadpole into a frog.

Animation by Harry Warne. https://t.co/7bhEsuQAmu https://t.co/6wdY9xnJuU",[],en,2020-03-02T11:58:24.000Z
ObjectId(5e5cf4e508013f04e616f45a),1.23E+18,MrAaronBall1,78,RT @CrypticNoOne: Need her on BLACKED,[],en,2020-03-02T11:58:24.000Z
ObjectId(5e5cf4e608013f04e616f45b),1.23E+18,OfficalGayJaket,315,Harry read confessions and you’re not changing my mind https://t.co/8KrhS2D4D6,[],en,2020-03-02T11:58:25.000Z
ObjectId(5e5cf4e708013f04e616f45c),1.23E+18,drugharryxx,2497,RT @loveonthor: harry styles taking over twitter: a thrilling saga https://t.co/L044ohQuY2,[],en,2020-03-02T11:58:26.000Z
ObjectId(5e5cf4e808013f04e616f45d),1.23E+18,MsMottram,3923,RT @AdamWagner1: Big update tonight on Harry Dunn's parents' Judicial Review claim against the Foreign Office and Northamptonshire police (…,[],en,2020-03-02T11:58:27.000Z
ObjectId(5e5cf4e808013f04e616f45e),1.23E+18,ilhamnaufal,527,RT @TheManUtdWay: Today was one of those games that we’d have lost last season without Harry Maguire back there. He was outstanding again a…,[],en,2020-03-02T11:58:28.000Z
ObjectId(5e5cf4e908013f04e616f45f),1.23E+18,TommoVika,437,RT @harryislouhabit: remember when harry was sick so the crowd sang the high notes of infinity that was so powerful :’) https://t.co/q4d2un…,[],en,2020-03-02T11:58:28.000Z
ObjectId(5e5cf4ea08013f04e616f460),1.23E+18,ArtGarfunkle,771,RT @shesvinyl: so you’re saying harry styles isn’t a virgin?!?!?? this is the worst day of my life 😭😭😭🙁🙁😫😫😫😤😤😤😤😤😡😡🤬🤬🤬😫😫😫😫😫😫😫🤪🤪😤😤😤😤😤😤😤😳😳😳😳ht…,[],en,2020-03-02T11:58:29.000Z
ObjectId(5e5cf4ea08013f04e616f461),1.23E+18,Jake_Henry,79,"Real funny, Harry. https://t.co/uqODl9E0ZI https://t.co/inLBAooVgV",[],en,2020-03-02T11:58:29.000Z
ObjectId(5e5cf4eb08013f04e616f462),1.23E+18,NotAloniRae,90,#NAME?,[],en,2020-03-02T11:58:30.000Z
ObjectId(5e5cf4ec08013f04e616f463),1.23E+18,wallsxdal,62,i really hope i win the Harry Styles LOT tickets 🥺🥺,[],en,2020-03-02T11:58:31.000Z
ObjectId(5e5cf4ed08013f04e616f464),1.23E+18,pbjen521,11,"RT @GirlTema: 🚨🚨🚨 #SussexSquad  PSA!
WARNING: BEWARE OF WOLVES IN SHEEP'S CLOTHING! Let's be cautious of new ""supporters"" of Harry and Megh…","[{""text"":""SussexSquad"",""indices"":[18,30]}]",en,2020-03-02T11:58:32.000Z
ObjectId(5e5cf4ed08013f04e616f465),1.23E+18,YIXlUMIN,2816,RT @bestHvocals: The fact that 2020 harry styles sings Sign Of The Times even better than the studio version just shows how much he develop…,[],en,2020-03-02T11:58:32.000Z
ObjectId(5e5cf4ed08013f04e616f466),1.23E+18,caroIinka,3857,RT @Account31voting: @1992svotacoesRE Harry Styles #LoseYouToLoveMe #BestLyrics #iHeartAwards,"[{""text"":""LoseYouToLoveMe"",""indices"":[51,67]},{""text"":""BestLyrics"",""indices"":[68,79]},{""text"":""iHeartAwards"",""indices"":[80,93]}]",en,2020-03-02T11:58:32.000Z
ObjectId(5e5cf4ee08013f04e616f467),1.23E+18,danakarimegz,5,RT @Iondunn: omg Harry is that drunk girl in a bathroom I love it,[],en,2020-03-02T11:58:33.000Z
ObjectId(5e5cf4ef08013f04e616f468),1.23E+18,narrypureart,202,RT @IovedangeI: harry shouting “are you ready to get wet” while kiwi instrumental is playing in the background is the sexiest thing i’ve ev…,[],en,2020-03-02T11:58:34.000Z
ObjectId(5e5cf4ef08013f04e616f469),1.23E+18,MurdockResists,19292,"RT @LRPow79: I wanna rap
W/ the older voters
Today
On Sunday
The day of worship
&amp; reflection
If I may.
Think back
U may not remember
&amp; it d…",[],en,2020-03-02T11:58:34.000Z
ObjectId(5e5cf4f008013f04e616f46a),1.23E+18,MariaGa91000049,2166,RT @JanetSpaulding4: Give it to us Harry:,[],en,2020-03-02T11:58:35.000Z
ObjectId(5e5cf4f208013f04e616f46b),1.23E+18,HarryHa45453299,0,"@hawkshep Hi Hawk, I'm working on a BBC documentary filming in Toronto and I'd like to talk to you about this. Coul… https://t.co/QgBKN7kDIg",[],en,2020-03-02T11:58:37.000Z
ObjectId(5e5cf4f208013f04e616f46c),1.23E+18,alexia65444607,9,RT @goIdnangeI: GUYS I FUCKJNG MET HARRY I FUKNH MET HIM i went up to him after he got his drink and said “hi harry” and he smiled and said…,[],en,2020-03-02T11:58:37.000Z
ObjectId(5e5cf4f208013f04e616f46d),1.23E+18,xmtickets_intl,37229,"Harry Styles Tickets available for below mentioned cities ; 

Birmingham
Sheffield
Dublin
London 
Manchester
And Al… https://t.co/au8fkNeDEX",[],en,2020-03-02T11:58:37.000Z
